"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Vps11","GSM2545338",2222,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,71732,"vacuolar protein sorting 11 (yeast), transcript variant X3","ENSMUSG00000032127","1200011A11Rik","9","protein_coding","abnormal circulating phosphate level","VPS11"
"Gm10193","GSM2545347",1,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,100042023,NA,"ENSMUSG00000101330",NA,"1","processed_pseudogene",NA,NA
"Plp1","GSM2545354",84540,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,18823,"proteolipid protein (myelin) 1, transcript variant 1","ENSMUSG00000031425","DM20","X","protein_coding","abnormal CNS glial cell morphology","PLP1"
"Agt","GSM2545343",3942,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,11606,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","ENSMUSG00000031980","angiotensin precursor","8","protein_coding","abnormal blood homeostasis","AGT"
"Mpped1","GSM2545352",310,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,223726,"metallophosphoesterase domain containing 1, transcript variant X3","ENSMUSG00000041708",NA,"15","protein_coding",NA,"MPPED1"
"B3galt2","GSM2545349",778,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,26878,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2","ENSMUSG00000033849",NA,"1","protein_coding","abnormal heart morphology","B3GALT2"
"Lct","GSM2545348",14,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,226413,"lactase","ENSMUSG00000026354","LOC226413","1","protein_coding",NA,"LCT"
"Cacna1s","GSM2545351",34,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,12292,"calcium channel, voltage-dependent, L type, alpha 1S subunit, transcript variant X1","ENSMUSG00000026407","Cav1.1","1","protein_coding","abnormal embryo size","CACNA1S"
"Swt1","GSM2545353",853,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,66875,"SWT1 RNA endoribonuclease homolog (S. cerevisiae), transcript variant X1","ENSMUSG00000052748","1200016B10Rik","1","protein_coding",NA,"SWT1"
"Lemd1","GSM2545348",13,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,213409,"LEM domain containing 1, transcript variant X3","ENSMUSG00000079330","4930540I23Rik","1","protein_coding",NA,"LEMD1"
"Evpl","GSM2545380",65,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,14027,"envoplakin, transcript variant X1","ENSMUSG00000034282","210kDa protein","11","protein_coding","abnormal corneocyte envelope morphology","EVPL"
"Khdrbs2","GSM2545340",225,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,170771,"KH domain containing, RNA binding, signal transduction associated 2, transcript variant X1","ENSMUSG00000026058","6330586C16Rik","1","protein_coding","abnormal autophagy","KHDRBS2"
"Ybx3","GSM2545349",1834,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,56449,"Y box protein 3, transcript variant 2","ENSMUSG00000030189","Csda","6","protein_coding","abnormal jejunum morphology","YBX3"
"Rb1cc1","GSM2545363",6118,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,12421,"RB1-inducible coiled-coil 1, transcript variant X2","ENSMUSG00000025907","2900055E04Rik","1","protein_coding","abnormal heart morphology","RB1CC1"
"Gm1976","GSM2545354",355,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,100038746,"predicted gene 1976, transcript variant 2","ENSMUSG00000066057",NA,"17","lncRNA",NA,NA
"Slc23a3","GSM2545340",3,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,22626,"solute carrier family 23 (nucleobase transporters), member 3, transcript variant X3","ENSMUSG00000026205","SVCT3","1","protein_coding","abnormal lung morphology","SLC23A3"
"Serpina3g","GSM2545380",25,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,20715,"serine (or cysteine) peptidase inhibitor, clade A, member 3G","ENSMUSG00000041481","2A2","12","protein_coding","abnormal memory T cell morphology","SERPINA3"
"Pax7","GSM2545348",16,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,18509,"paired box 7, transcript variant X3","ENSMUSG00000028736","Pax-7","4","protein_coding","decreased circulating insulin level","PAX7"
"Scarna6","GSM2545340",10,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,100217415,"small Cajal body-specific RNA 6","ENSMUSG00000089281","MBI-46","1","scaRNA",NA,NA
"Dnah1","GSM2545347",93,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,110084,"dynein, axonemal, heavy chain 1","ENSMUSG00000019027","B230373P09Rik","14","protein_coding","abnormal coat appearance","DNAH1"
"Rgs1","GSM2545347",2,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,50778,"regulator of G-protein signaling 1","ENSMUSG00000026358","BL34","1","protein_coding","abnormal B cell physiology","RGS1"
"Kdm6a","GSM2545351",3310,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,22289,"lysine (K)-specific demethylase 6A, transcript variant X1","ENSMUSG00000037369","Utx","X","protein_coding","abnormal brain development","KDM6A"
"Colgalt2","GSM2545348",113,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,269132,"collagen beta(1-O)galactosyltransferase 2","ENSMUSG00000032649","Glt25d2","1","protein_coding",NA,"COLGALT2"
"Bivm","GSM2545347",980,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,246229,"basic, immunoglobulin-like variable motif containing, transcript variant X1","ENSMUSG00000041684",NA,"1","protein_coding","abnormal epidermal immune compartment","ERCC5"
"Pgap1","GSM2545352",1937,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,241062,"post-GPI attachment to proteins 1","ENSMUSG00000073678","5033403E17Rik","1","protein_coding","preweaning lethality complete penetrance","PGAP1"
"Sema4d","GSM2545353",3870,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,20354,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D, transcript variant X7","ENSMUSG00000021451","CD100","13","protein_coding","abnormal behavior","SEMA4D"
"Tead4","GSM2545344",225,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,21679,"TEA domain family member 4, transcript variant 2","ENSMUSG00000030353","ETFR-2a","6","protein_coding","abnormal morula morphology","TEAD4"
"Panct2","GSM2545337",17,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,329217,"pluripotency-associated noncoding transcript 2, transcript variant X1","ENSMUSG00000097814","Gm5101","1","lncRNA",NA,NA
"Gm5529","GSM2545345",21,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,433326,NA,"ENSMUSG00000067106",NA,"1","processed_pseudogene",NA,NA
"Anxa3","GSM2545346",545,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,11745,"annexin A3","ENSMUSG00000029484","Anx3","5","protein_coding",NA,"ANXA3"
"Mif-ps1","GSM2545351",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,667686,NA,"ENSMUSG00000104360","Gm8762","1","processed_pseudogene",NA,NA
"Sord","GSM2545352",1076,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,20322,"sorbitol dehydrogenase","ENSMUSG00000027227","Sdh-1","2","protein_coding","abnormal lens morphology","SORD"
"Slc22a4","GSM2545341",2442,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,30805,"solute carrier family 22 (organic cation transporter), member 4, transcript variant X3","ENSMUSG00000020334","Octn1","11","protein_coding","enlarged cecum","SLC22A4"
"Dnm3","GSM2545350",14574,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,103967,"dynamin 3, transcript variant X4","ENSMUSG00000040265","9630020E24Rik","1","protein_coding","no abnormal phenotype detected","DNM3"
"Slc35g1","GSM2545338",121,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,240660,"solute carrier family 35, member G1","ENSMUSG00000044026","D330039I19Rik","19","protein_coding","decreased circulating triglyceride level","SLC35G1"
"Nfya","GSM2545354",1203,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,18044,"nuclear transcription factor-Y alpha, transcript variant X5","ENSMUSG00000023994","Cbf-b","17","protein_coding","abnormal eye morphology","NFYA"
"Rc3h1","GSM2545338",3427,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,381305,"RING CCCH (C3H) domains 1","ENSMUSG00000040423","5730557L09Rik","1","protein_coding","increased lean body mass","RC3H1"
"Dynlt1a","GSM2545340",509,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,100310872,"dynein light chain Tctex-type 1A","ENSMUSG00000092074",NA,"17","protein_coding",NA,"DYNLT1"
"Tomm40l","GSM2545347",1476,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,641376,"translocase of outer mitochondrial membrane 40 homolog-like (yeast), transcript variant X1","ENSMUSG00000005674",NA,"1","protein_coding",NA,"TOMM40L"
"Zfp810","GSM2545337",439,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,235050,"zinc finger protein 810, transcript variant X2","ENSMUSG00000066829",NA,"9","protein_coding",NA,NA
"Lyg2","GSM2545350",8,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,332427,"lysozyme G-like 2, transcript variant X1","ENSMUSG00000061584","LOC332427","1","protein_coding",NA,"LYG2"
"Acer2","GSM2545363",380,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,230379,"alkaline ceramidase 2, transcript variant X2","ENSMUSG00000038007","2410116I05Rik","4","protein_coding","abnormal sphingolipid level","ACER2"
"Scg2","GSM2545339",9938,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,20254,"secretogranin II","ENSMUSG00000050711","Chgc","1","protein_coding","decreased startle reflex","SCG2"
"Coq4","GSM2545348",343,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,227683,"coenzyme Q4 homolog (yeast), transcript variant X1","ENSMUSG00000026798","D2Ertd97e","2","protein_coding","decreased circulating free fatty acids level","COQ4"
"Dot1l","GSM2545380",6480,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,208266,"DOT1-like, histone H3 methyltransferase (S. cerevisiae), transcript variant X4","ENSMUSG00000061589","KMT4","10","protein_coding","abnormal retinal vasculature morphology","DOT1L"
"Gm20751","GSM2545343",87,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,622552,"predicted gene, 20751","ENSMUSG00000110016",NA,"13","lncRNA",NA,NA
"Phkg2","GSM2545344",1666,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,68961,"phosphorylase kinase, gamma 2 (testis), transcript variant X1","ENSMUSG00000030815","1500017I02Rik","7","protein_coding","increased erythrocyte cell number","PHKG2"
"Rnf141","GSM2545380",2811,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,67150,"ring finger protein 141, transcript variant X5","ENSMUSG00000030788","2610110L04Rik","7","protein_coding","decreased litter size","RNF141"
"Pcdh18","GSM2545347",111,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,73173,"protocadherin 18, transcript variant X1","ENSMUSG00000037892","PCDH68L","3","protein_coding","corneal opacity","PCDH18"
"Arid5b","GSM2545352",2190,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,71371,"AT rich interactive domain 5B (MRF1-like), transcript variant X2","ENSMUSG00000019947","5430435G07Rik","10","protein_coding","abnormal adipose tissue morphology","ARID5B"
"Gpr55","GSM2545348",0,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,227326,"G protein-coupled receptor 55, transcript variant X2","ENSMUSG00000049608","CTFL","1","protein_coding","abnormal osteoclast differentiation","GPR55"
"Plcxd1","GSM2545349",131,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,403178,"phosphatidylinositol-specific phospholipase C, X domain containing 1, transcript variant X2","ENSMUSG00000064247","A330045H12Rik","5","protein_coding",NA,"PLCXD1"
"Tpp2","GSM2545362",3295,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,22019,"tripeptidyl peptidase II, transcript variant X2","ENSMUSG00000041763","TppII","1","protein_coding","abnormal CD4-positive T cell differentiation","TPP2"
"Hap1","GSM2545352",3926,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,15114,"huntingtin-associated protein 1, transcript variant X2","ENSMUSG00000006930","HAP-1","11","protein_coding","preweaning lethality complete penetrance","HAP1"
"Cox7b2","GSM2545344",34,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,78174,"cytochrome c oxidase subunit VIIb2","ENSMUSG00000049387","4930503B16Rik","5","protein_coding",NA,"COX7B2"
"Mamdc4","GSM2545347",108,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,381352,"MAM domain containing 4, transcript variant X5","ENSMUSG00000026941","LOC381352","2","protein_coding",NA,"MAMDC4"
"Mt1","GSM2545380",18946,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,17748,"metallothionein 1, transcript variant X1","ENSMUSG00000031765","Mt-1","8","protein_coding","hypoactivity","MT1G"
"Bend6","GSM2545354",8983,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,320705,"BEN domain containing 6, transcript variant X1","ENSMUSG00000042182","B230209C24Rik","1","protein_coding","increased heart rate","BEND6"
"Kctd4","GSM2545347",81,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,67516,"potassium channel tetramerisation domain containing 4","ENSMUSG00000046523","2210017A09Rik","14","protein_coding",NA,"KCTD4"
"Prkar2b","GSM2545343",814,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,19088,"protein kinase, cAMP dependent regulatory, type II beta, transcript variant X1","ENSMUSG00000002997","Pkarb2","12","protein_coding","abnormal energy expenditure","PRKAR2B"
"Zbtb21","GSM2545348",1032,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,114565,"zinc finger and BTB domain containing 21, transcript variant 2","ENSMUSG00000046962","5430437K12Rik","16","protein_coding",NA,"ZBTB21"
"Gin1","GSM2545336",497,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,252876,"gypsy retrotransposon integrase 1, transcript variant X2","ENSMUSG00000026333","4930429M06","1","protein_coding","abnormal heart morphology","GIN1"
"Cngb1","GSM2545337",27,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,333329,"cyclic nucleotide gated channel beta 1, transcript variant 1","ENSMUSG00000031789","BC016201","8","protein_coding","abnormal action potential","CNGB1"
"Swt1","GSM2545338",807,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,66875,"SWT1 RNA endoribonuclease homolog (S. cerevisiae), transcript variant X1","ENSMUSG00000052748","1200016B10Rik","1","protein_coding",NA,"SWT1"
"Glrx2","GSM2545343",2337,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,69367,"glutaredoxin 2 (thioltransferase), transcript variant X2","ENSMUSG00000018196","1700010P22Rik","1","protein_coding","abnormal enzyme/coenzyme activity",NA
"Glrp1","GSM2545339",0,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,14659,"glutamine repeat protein 1","ENSMUSG00000062310","GRP-1","1","protein_coding",NA,NA
"Drd4","GSM2545347",50,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,13491,"dopamine receptor D4, transcript variant X1","ENSMUSG00000025496","D4R","7","protein_coding","abnormal eye electrophysiology","DRD4"
"Prss53","GSM2545362",124,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,330657,"protease, serine 53","ENSMUSG00000044139","BC039632","7","protein_coding","abnormal bone structure","PRSS53"
"Rpp25","GSM2545338",118,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,102614,"ribonuclease P/MRP 25 subunit","ENSMUSG00000062309",NA,"9","protein_coding",NA,"RPP25"
"Nfya","GSM2545342",741,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,18044,"nuclear transcription factor-Y alpha, transcript variant X5","ENSMUSG00000023994","Cbf-b","17","protein_coding","abnormal eye morphology","NFYA"
"Prkar2b","GSM2545345",547,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,19088,"protein kinase, cAMP dependent regulatory, type II beta, transcript variant X1","ENSMUSG00000002997","Pkarb2","12","protein_coding","abnormal energy expenditure","PRKAR2B"
"Tcf24","GSM2545346",10,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,100039596,"transcription factor 24, transcript variant X2","ENSMUSG00000099032",NA,"1","protein_coding",NA,"TCF24"
"Ptprn","GSM2545347",5329,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,19275,"protein tyrosine phosphatase, receptor type, N, transcript variant X2","ENSMUSG00000026204","IA-2","1","protein_coding","impaired glucose tolerance","PTPRN"
"Tmem91","GSM2545353",97,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,320208,"transmembrane protein 91, transcript variant X1","ENSMUSG00000061702","A830041P22Rik","7","protein_coding",NA,"TMEM91"
"Zfp451","GSM2545339",1379,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,98403,"zinc finger protein 451, transcript variant 2","ENSMUSG00000042197","4930515K21Rik","1","protein_coding","abnormal pancreas morphology","ZNF451"
"Adat1","GSM2545350",332,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,30947,"adenosine deaminase, tRNA-specific 1, transcript variant X1","ENSMUSG00000031949","mADAT1","8","protein_coding",NA,"ADAT1"
"Abhd14a","GSM2545347",442,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,68644,"abhydrolase domain containing 14A, transcript variant X7","ENSMUSG00000042210","1110013B16Rik","9","protein_coding","improved glucose tolerance","ABHD14A"
"Nck2","GSM2545352",951,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,17974,"non-catalytic region of tyrosine kinase adaptor protein 2, transcript variant X1","ENSMUSG00000066877","4833426I10Rik","1","protein_coding","no abnormal phenotype detected","NCK2"
"Ccnyl1","GSM2545348",550,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,227210,"cyclin Y-like 1, transcript variant X1","ENSMUSG00000070871","9630037P07Rik","1","protein_coding","abnormal sperm annulus morphology","CCNYL1"
"Kcnt2","GSM2545352",69,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,240776,"potassium channel, subfamily T, member 2, transcript variant X8","ENSMUSG00000052726","E330038N15Rik","1","protein_coding","decreased heart weight","KCNT2"
"Cfap221","GSM2545354",13,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,226356,"cilia and flagella associated protein 221, transcript variant X1","ENSMUSG00000036962","Gm101","1","protein_coding",NA,"CFAP221"
"Rp1","GSM2545337",2,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,19888,"retinitis pigmentosa 1 (human), transcript variant 2","ENSMUSG00000025900","Dcdc3","1","protein_coding","abnormal cone electrophysiology","RP1"
"Epha4","GSM2545351",1116,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,13838,"Eph receptor A4, transcript variant X1","ENSMUSG00000026235","2900005C20Rik","1","protein_coding","abnormal anterior commissure morphology","EPHA4"
"Jpx","GSM2545336",365,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,70252,"Jpx transcript, Xist activator (non-protein coding)","ENSMUSG00000097571","2010000I03Rik","X","lncRNA",NA,NA
"Elfn1","GSM2545362",191,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,243312,"leucine rich repeat and fibronectin type III, extracellular 1, transcript variant X1","ENSMUSG00000048988","A930017N06Rik","5","protein_coding","abnormal spinal cord morphology","ELFN1"
"Pde8b","GSM2545348",728,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,218461,"phosphodiesterase 8B, transcript variant 2","ENSMUSG00000021684","B230331L10Rik","13","protein_coding","decreased circulating adrenocorticotropin level",NA
"Mark3","GSM2545346",3180,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,17169,"MAP/microtubule affinity-regulating kinase 3, transcript variant 1","ENSMUSG00000007411","1600015G02Rik","12","protein_coding","abnormal adipocyte glucose uptake","MARK3"
"Tipin","GSM2545339",478,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,66131,"timeless interacting protein, transcript variant X6","ENSMUSG00000032397","1110005A05Rik","9","protein_coding",NA,"TIPIN"
"Fn1","GSM2545362",3029,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,14268,"fibronectin 1, transcript variant 7","ENSMUSG00000026193","Fn","1","protein_coding","abnormal amnion morphology","FN1"
"Vstm5","GSM2545346",102,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,69137,"V-set and transmembrane domain containing 5, transcript variant X1","ENSMUSG00000031937","2200002K05Rik","9","protein_coding","decreased interleukin-2 secretion","VSTM5"
"Arrdc2","GSM2545380",1446,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,70807,"arrestin domain containing 2, transcript variant X1","ENSMUSG00000002910","4632416I05Rik","8","protein_coding","increased cornea thickness","ARRDC2"
"Ugt8a","GSM2545339",3123,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,22239,"UDP galactosyltransferase 8A, transcript variant X1","ENSMUSG00000032854","Cgt","3","protein_coding","abnormal Purkinje cell morphology","UGT8"
"Ttll4","GSM2545345",1882,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,67534,"tubulin tyrosine ligase-like family, member 4, transcript variant X2","ENSMUSG00000033257","4632407P03Rik","1","protein_coding","abnormal retina morphology","TTLL4"
"Tmem120b","GSM2545363",596,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,330189,"transmembrane protein 120B, transcript variant X2","ENSMUSG00000054434",NA,"5","protein_coding",NA,"TMEM120B"
"Clk1","GSM2545345",8348,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,12747,"CDC-like kinase 1, transcript variant 2","ENSMUSG00000026034","Clk1","1","protein_coding","abnormal response to tactile stimuli","CLK1"
"Gabrd","GSM2545345",5653,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,14403,"gamma-aminobutyric acid (GABA) A receptor, subunit delta","ENSMUSG00000029054",NA,"4","protein_coding","abnormal contextual conditioning behavior","GABRD"
"Ovgp1","GSM2545339",566,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,12659,"oviductal glycoprotein 1","ENSMUSG00000074340","Chit5","3","protein_coding",NA,"OVGP1"
